customer_id,lead_date,product_searched,gender,nationality,province,dob,booking_date,product_booked,Booking_Price,Discount,HasUpgraded,Converted,FinalPrice
29,01/12/2016,Economy,Female,India,Dubai,11/06/1984,01/12/2016,Economy,4000.0,270.0,Converted,False,3730.0
30,01/12/2016,Economy,Male,U.A.E.,Umm Al Quwain,18/02/1986,01/12/2016,Economy,4000.0,100.0,Converted,False,3900.0
31,01/12/2016,Business,Male,Pakistan,Dubai,06/10/1980,01/12/2016,Business,8000.0,640.0,Converted,False,7360.0
32,01/12/2016,Premium_Economy,Female,Philippines,Dubai,11/07/1971,,,,,Converted,False,
33,01/12/2016,Premium_Economy,Female,Palestinian,Dubai,06/01/1983,01/12/2016,Premium_Economy,5000.0,250.0,Converted,False,4750.0
34,03/12/2016,Economy,Male,U.A.E.,Ras Al Khaimah,24/12/1977,,,,,Converted,False,
35,03/12/2016,Business,Male,U.A.E.,Ras Al Khaimah,01/01/1979,,,,,Converted,False,
36,03/12/2016,Business,Male,U.A.E.,Al-Ain,08/12/1969,03/12/2016,Business,8000.0,270.0,Converted,False,7730.0
37,03/12/2016,Economy,Female,U.A.E.,Fujairah,11/08/1987,,,,,Converted,False,
38,03/12/2016,Economy,Male,Egypt,Dubai,31/05/1980,,,,,Converted,False,
39,03/12/2016,Business,Male,U.A.E.,Al-Ain,30/04/1981,03/12/2016,Business,8000.0,180.0,Converted,False,7820.0
40,03/12/2016,Business,Male,U.A.E.,Al-Ain,08/05/1953,,,,,Converted,False,
41,03/12/2016,Business,Male,U.A.E.,Dubai,27/05/1975,,,,,Converted,False,
42,03/12/2016,Business,Female,U.A.E.,Dubai,29/03/1998,,,,,Converted,False,
43,03/12/2016,Economy,Male,Pakistan,Ajman,21/12/1971,,,,,Converted,False,
44,03/12/2016,Business,Male,U.A.E.,Sharjah,,,,,,Converted,False,
45,03/12/2016,Business,Female,U.A.E.,Al-Ain,06/06/1986,03/12/2016,Business,8000.0,370.0,Converted,False,7630.0
46,03/12/2016,Business,Male,Thailand,Dubai,29/03/1978,,,,,Converted,False,
47,03/12/2016,Economy,Male,Egypt,Dubai,03/08/1972,,,,,Converted,False,
48,03/12/2016,Economy,Male,Syria,Dubai,07/04/1986,03/12/2016,Economy,4000.0,400.0,Converted,False,3600.0
49,03/12/2016,Premium_Economy,Male,India,Ajman,07/07/1980,03/12/2016,Premium_Economy,5000.0,180.0,Converted,False,4820.0
50,03/12/2016,Economy,Male,Not Known,,,,,,,Converted,False,
51,03/12/2016,Business,Male,U.A.E.,Sharjah,05/11/1981,,,,,Converted,False,
52,03/12/2016,Economy,Male,India,Abu Dhabi,07/03/1966,,,,,Converted,False,
53,03/12/2016,Business,Male,India,Sharjah,09/07/1980,03/12/2016,Business,8000.0,130.0,Converted,False,7870.0
54,03/12/2016,Business,Male,U.A.E.,Al-Ain,10/11/1973,03/12/2016,Business,8000.0,500.0,Converted,False,7500.0
55,03/12/2016,Premium_Economy,Male,U.A.E.,Sharjah,05/12/1970,03/12/2016,Premium_Economy,5000.0,420.0,Converted,False,4580.0
56,03/12/2016,Business,Male,U.A.E.,Al-Ain,18/10/1986,,,,,Converted,False,
57,03/12/2016,Premium_Economy,Male,United Kingdom,Abu Dhabi,25/07/1964,,,,,Converted,False,
58,03/12/2016,Premium_Economy,Male,India,Sharjah,04/05/1970,03/12/2016,Premium_Economy,5000.0,500.0,Converted,False,4500.0
59,03/12/2016,Business,Male,U.A.E.,Fujairah,,,,,,Converted,False,
60,03/12/2016,Business,Male,U.A.E.,Al-Ain,24/06/1974,03/12/2016,Business,8000.0,170.0,Converted,False,7830.0
61,03/12/2016,Business,Male,U.A.E.,Al-Ain,21/09/1971,03/12/2016,Business,8000.0,600.0,Converted,False,7400.0
62,03/12/2016,Premium_Economy,Male,India,Ajman,20/11/1961,03/12/2016,Premium_Economy,5000.0,120.0,Converted,False,4880.0
63,03/12/2016,Business,Male,U.A.E.,Al-Ain,15/04/1982,,,,,Converted,False,
64,03/12/2016,Business,Male,India,Dubai,14/12/1970,03/12/2016,Business,8000.0,800.0,Converted,False,7200.0
65,03/12/2016,Premium_Economy,Male,Jordan,Dubai,09/07/1990,,,,,Converted,False,
66,03/12/2016,Economy,Male,Pakistan,Abu Dhabi,16/05/1960,03/12/2016,Economy,4000.0,220.0,Converted,False,3780.0
67,03/12/2016,Business,Male,India,Dubai,10/09/1974,,,,,Converted,False,
68,03/12/2016,Premium_Economy,Male,Germany,Dubai,,,,,,Converted,False,
69,03/12/2016,Economy,Male,India,Al-Ain,20/05/1992,,,,,Converted,False,
70,03/12/2016,Business,Male,U.A.E.,Abu Dhabi,21/04/1995,,,,,Converted,False,
71,03/12/2016,Economy,Female,India,Sharjah,15/05/1989,03/12/2016,Economy,4000.0,100.0,Converted,False,3900.0
72,03/12/2016,Economy,Male,Egypt,Dubai,19/02/1980,,,,,Converted,False,
73,03/12/2016,Economy,Female,U.A.E.,Dubai,06/09/1993,,,,,Converted,False,
74,03/12/2016,Business,Male,India,Dubai,24/11/1970,,,,,Converted,False,
75,03/12/2016,Premium_Economy,Female,India,Dubai,11/02/1977,,,,,Converted,False,
76,03/12/2016,Business,Male,U.A.E.,Al-Ain,04/02/1987,03/12/2016,Business,8000.0,300.0,Converted,False,7700.0
77,03/12/2016,Economy,Female,India,Ras Al Khaimah,27/03/1988,,,,,Converted,False,
78,03/12/2016,Business,Male,U.A.E.,Abu Dhabi,25/09/1974,,,,,Converted,False,
79,03/12/2016,Premium_Economy,Female,Not Known,,25/05/1961,,,,,Converted,False,
80,03/12/2016,Economy,Male,Not Known,,,,,,,Converted,False,
81,03/12/2016,Premium_Economy,Male,Jordan,Dubai,24/09/1982,,,,,Converted,False,
82,03/12/2016,Premium_Economy,Male,USA,Abu Dhabi,07/03/1978,03/12/2016,Premium_Economy,5000.0,290.0,Converted,False,4710.0
83,03/12/2016,Economy,Male,Egypt,Abu Dhabi,19/10/1978,,,,,Converted,False,
84,03/12/2016,Business,Male,Burkinabe,Dubai,30/09/1977,,,,,Converted,False,
85,03/12/2016,Premium_Economy,Male,India,Ras Al Khaimah,12/04/1979,03/12/2016,Premium_Economy,5000.0,220.0,Converted,False,4780.0
86,03/12/2016,Economy,Male,Egypt,Abu Dhabi,11/03/1976,,,,,Converted,False,
87,03/12/2016,Business,Female,India,Dubai,30/10/1979,,,,,Converted,False,
88,03/12/2016,Business,Male,U.A.E.,Fujairah,08/08/1967,,,,,Converted,False,
89,03/12/2016,Economy,Male,India,Dubai,,,,,,Converted,False,
90,03/12/2016,Premium_Economy,Male,India,Dubai,21/02/1989,,,,,Converted,False,
91,03/12/2016,Premium_Economy,Male,Not Known,,08/11/1974,,,,,Converted,False,
92,03/12/2016,Economy,Male,India,Abu Dhabi,06/07/1957,,,,,Converted,False,
93,03/12/2016,Business,Male,India,Dubai,26/11/1974,,,,,Converted,False,
94,03/12/2016,Premium_Economy,Male,India,Dubai,31/07/1984,03/12/2016,Premium_Economy,5000.0,180.0,Converted,False,4820.0
95,03/12/2016,Premium_Economy,Male,U.A.E.,Sharjah,20/02/1963,,,,,Converted,False,
96,03/12/2016,Premium_Economy,Male,U.A.E.,Al-Ain,,,,,,Converted,False,
97,03/12/2016,Business,Male,Lebanon,Dubai,19/10/1957,03/12/2016,Business,8000.0,330.0,Converted,False,7670.0
98,03/12/2016,Economy,Male,Egypt,Dubai,06/05/1975,03/12/2016,Economy,4000.0,250.0,Converted,False,3750.0
99,03/12/2016,Business,Male,U.A.E.,Al-Ain,30/06/1976,,,,,Converted,False,
100,03/12/2016,Premium_Economy,Male,U.A.E.,Fujairah,01/10/1982,03/12/2016,Premium_Economy,5000.0,200.0,Converted,False,4800.0
101,03/12/2016,Business,Male,Pakistan,Dubai,11/09/1980,,,,,Converted,False,
102,03/12/2016,Business,Male,Syria,Dubai,07/10/1971,,,,,Converted,False,
103,03/12/2016,Business,Male,Lebanon,Dubai,23/08/1963,03/12/2016,Business,8000.0,760.0,Converted,False,7240.0
104,03/12/2016,Business,Male,U.A.E.,Sharjah,10/02/1990,03/12/2016,Business,8000.0,800.0,Converted,False,7200.0
105,03/12/2016,Business,Male,Kenya,Ajman,22/04/1974,03/12/2016,Business,8000.0,160.0,Converted,False,7840.0
106,03/12/2016,Premium_Economy,Male,Egypt,Abu Dhabi,30/05/1977,,,,,Converted,False,
107,03/12/2016,Economy,Female,Egypt,Abu Dhabi,01/09/1971,,,,,Converted,False,
108,03/12/2016,Business,Female,U.A.E.,Ajman,19/10/1982,03/12/2016,Business,8000.0,610.0,Converted,False,7390.0
109,03/12/2016,Economy,Male,U.A.E.,Ras Al Khaimah,14/11/1973,,,,,Converted,False,
110,03/12/2016,Economy,Male,Egypt,Abu Dhabi,07/10/1974,,,,,Converted,False,
111,03/12/2016,Premium_Economy,Male,U.A.E.,Sharjah,29/01/1964,03/12/2016,Premium_Economy,5000.0,220.0,Converted,False,4780.0
112,03/12/2016,Premium_Economy,Female,U.A.E.,Abu Dhabi,02/01/1995,,,,,Converted,False,
113,03/12/2016,Business,Male,U.A.E.,Dubai,13/01/1978,,,,,Converted,False,
114,03/12/2016,Premium_Economy,Male,U.A.E.,Abu Dhabi,27/08/1983,,,,,Converted,False,
115,03/12/2016,Economy,Male,Syria,Dubai,13/05/1985,,,,,Converted,False,
116,03/12/2016,Business,Male,Pakistan,Dubai,13/08/1952,03/12/2016,Business,8000.0,480.0,Converted,False,7520.0
117,03/12/2016,Business,Male,U.A.E.,Dubai,,,,,,Converted,False,
118,03/12/2016,Economy,Female,India,Ajman,22/02/1972,,,,,Converted,False,
119,03/12/2016,Economy,Male,Egypt,,06/01/1972,,,,,Converted,False,
120,03/12/2016,Premium_Economy,Male,Jordan,,01/01/1978,03/12/2016,Premium_Economy,5000.0,130.0,Converted,False,4870.0
121,03/12/2016,Business,Female,U.A.E.,Ajman,17/11/1981,03/12/2016,Business,8000.0,110.0,Converted,False,7890.0
122,03/12/2016,Business,Male,Kenya,Ajman,23/03/1975,,,,,Converted,False,
123,03/12/2016,Economy,Male,India,Dubai,22/09/1989,03/12/2016,Economy,4000.0,320.0,Converted,False,3680.0
124,03/12/2016,Premium_Economy,Male,India,Dubai,30/12/1980,,,,,Converted,False,
125,03/12/2016,Premium_Economy,Male,India,Fujairah,17/11/1977,03/12/2016,Premium_Economy,5000.0,500.0,Converted,False,4500.0
126,03/12/2016,Economy,Male,Morocco,Abu Dhabi,28/08/1990,,,,,Converted,False,
127,03/12/2016,Business,Female,U.A.E.,Sharjah,17/03/1963,,,,,Converted,False,
128,03/12/2016,Business,Male,U.A.E.,Fujairah,06/11/1983,03/12/2016,Business,8000.0,590.0,Converted,False,7410.0
129,03/12/2016,Business,Male,U.A.E.,Ras Al Khaimah,08/05/1991,,,,,Converted,False,
130,03/12/2016,Economy,Male,Egypt,Sharjah,08/12/1979,,,,,Converted,False,
131,03/12/2016,Premium_Economy,Female,Yemen,Dubai,15/03/1979,,,,,Converted,False,
132,03/12/2016,Premium_Economy,Male,Philippines,Abu Dhabi,24/06/1975,03/12/2016,Premium_Economy,5000.0,470.0,Converted,False,4530.0
133,03/12/2016,Business,Male,U.A.E.,Ras Al Khaimah,31/12/1977,,,,,Converted,False,
134,03/12/2016,Premium_Economy,Male,India,Dubai,18/08/1984,,,,,Converted,False,
135,03/12/2016,Economy,Male,U.A.E.,Al-Ain,11/04/1987,,,,,Converted,False,
136,03/12/2016,Economy,Male,Syria,Umm Al Quwain,14/01/1971,,,,,Converted,False,
137,03/12/2016,Premium_Economy,Male,Australia,Dubai,28/12/1986,,,,,Converted,False,
138,03/12/2016,Premium_Economy,Male,Egypt,Dubai,25/09/1971,,,,,Converted,False,
139,03/12/2016,Economy,Male,India,Dubai,06/05/1984,,,,,Converted,False,
140,03/12/2016,Premium_Economy,Male,U.A.E.,Fujairah,14/12/1984,,,,,Converted,False,
141,03/12/2016,Business,Male,U.A.E.,Fujairah,28/03/1981,,,,,Converted,False,
142,03/12/2016,Economy,Male,Pakistan,Dubai,28/07/1978,03/12/2016,Economy,4000.0,250.0,Converted,False,3750.0
143,03/12/2016,Premium_Economy,Male,Not Known,,,,,,,Converted,False,
144,03/12/2016,Premium_Economy,Male,India,Dubai,09/12/1966,,,,,Converted,False,
145,03/12/2016,Premium_Economy,,,,,,,,,Converted,False,
146,03/12/2016,Business,Male,United Kingdom,Dubai,18/04/1969,,,,,Converted,False,
147,03/12/2016,Premium_Economy,Female,India,Dubai,10/08/1976,,,,,Converted,False,
148,03/12/2016,Premium_Economy,Male,Jordan,Abu Dhabi,29/10/1982,03/12/2016,Premium_Economy,5000.0,600.0,Converted,False,4400.0
149,03/12/2016,Business,Male,U.A.E.,Ras Al Khaimah,19/05/1972,03/12/2016,Business,8000.0,670.0,Converted,False,7330.0
150,03/12/2016,Economy,Female,U.A.E.,Abu Dhabi,30/11/1980,,,,,Converted,False,
151,03/12/2016,Business,Male,U.A.E.,Al-Ain,23/02/1987,,,,,Converted,False,
152,03/12/2016,Premium_Economy,Male,India,Abu Dhabi,31/10/1978,,,,,Converted,False,
153,03/12/2016,Business,Male,U.A.E.,Al-Ain,05/03/1978,,,,,Converted,False,
154,03/12/2016,Premium_Economy,Female,Azerbaijan,Dubai,22/06/1989,,,,,Converted,False,
155,03/12/2016,Business,Male,India,Dubai,23/05/1977,,,,,Converted,False,
156,03/12/2016,Economy,Male,Jordan,Abu Dhabi,06/12/1962,,,,,Converted,False,
157,03/12/2016,Economy,Male,Egypt,Abu Dhabi,26/11/1974,,,,,Converted,False,
158,03/12/2016,Premium_Economy,Male,Egypt,Al-Ain,30/12/1981,,,,,Converted,False,
159,03/12/2016,Economy,Male,India,Dubai,11/03/1955,03/12/2016,Economy,4000.0,270.0,Converted,False,3730.0
160,03/12/2016,Economy,Male,Jordan,Dubai,05/09/1981,,,,,Converted,False,
161,03/12/2016,Business,Male,U.A.E.,Fujairah,08/10/1982,,,,,Converted,False,
162,03/12/2016,Economy,Male,U.A.E.,Dubai,18/10/1989,03/12/2016,Economy,4000.0,500.0,Converted,False,3500.0
163,03/12/2016,Economy,Male,Sri Lanka,Dubai,11/09/1981,,,,,Converted,False,
164,03/12/2016,Business,Male,U.A.E.,Fujairah,06/03/1996,,,,,Converted,False,
165,03/12/2016,Business,Male,U.A.E.,Abu Dhabi,28/02/1981,03/12/2016,Business,8000.0,290.0,Converted,False,7710.0
166,03/12/2016,Business,Male,Not Known,,,,,,,Converted,False,
167,03/12/2016,Business,Male,U.A.E.,Abu Dhabi,03/06/1996,03/12/2016,Business,8000.0,500.0,Converted,False,7500.0
168,03/12/2016,Business,Female,U.A.E.,Abu Dhabi,22/07/1984,03/12/2016,Business,8000.0,460.0,Converted,False,7540.0
169,03/12/2016,Economy,Male,India,,03/10/1982,03/12/2016,Economy,4000.0,900.0,Converted,False,3100.0
170,03/12/2016,Economy,Male,Jordan,Abu Dhabi,02/04/1955,,,,,Converted,False,
171,03/12/2016,Business,Male,U.A.E.,Dubai,13/05/1977,,,,,Converted,False,
172,03/12/2016,Business,Male,Oman,Fujairah,29/03/1974,,,,,Converted,False,
173,03/12/2016,Economy,Female,Jordan,Dubai,29/03/1980,,,,,Converted,False,
174,03/12/2016,Economy,Male,India,Dubai,19/02/1971,03/12/2016,Economy,4000.0,400.0,Converted,False,3600.0
175,03/12/2016,Business,Male,U.A.E.,Fujairah,,,,,,Converted,False,
176,03/12/2016,Premium_Economy,Male,U.A.E.,Al-Ain,30/07/1985,,,,,Converted,False,
177,03/12/2016,Business,Male,U.A.E.,Al-Ain,09/11/1979,03/12/2016,Business,8000.0,510.0,Converted,False,7490.0
178,03/12/2016,Business,Male,U.A.E.,Sharjah,14/03/1986,,,,,Converted,False,
179,03/12/2016,Premium_Economy,Male,India,Dubai,26/10/1972,03/12/2016,Premium_Economy,5000.0,160.0,Converted,False,4840.0
180,03/12/2016,Business,Male,U.A.E.,Fujairah,,,,,,Converted,False,
181,03/12/2016,Economy,Male,Pakistan,Dubai,22/10/1950,,,,,Converted,False,
182,03/12/2016,Premium_Economy,Male,Pakistan,Dubai,25/09/1983,,,,,Converted,False,
183,03/12/2016,Business,Male,U.A.E.,Abu Dhabi,29/08/1971,03/12/2016,Business,8000.0,460.0,Converted,False,7540.0
184,03/12/2016,Economy,Male,Egypt,Fujairah,31/08/1976,,,,,Converted,False,
185,03/12/2016,Business,Male,India,Dubai,26/08/1969,03/12/2016,Business,8000.0,510.0,Converted,False,7490.0
186,03/12/2016,Economy,Male,India,Ajman,29/12/1979,03/12/2016,Economy,4000.0,900.0,Converted,False,3100.0
187,03/12/2016,Premium_Economy,Male,U.A.E.,Dubai,23/12/1974,,,,,Converted,False,
188,03/12/2016,Business,Male,U.A.E.,Sharjah,02/08/1985,,,,,Converted,False,
189,03/12/2016,Business,Male,U.A.E.,Abu Dhabi,08/11/1979,,,,,Converted,False,
190,03/12/2016,Business,Male,U.A.E.,Al-Ain,05/07/1984,03/12/2016,Business,8000.0,620.0,Converted,False,7380.0
191,03/12/2016,Economy,Female,Egypt,Abu Dhabi,10/01/1962,,,,,Converted,False,
192,03/12/2016,Economy,Male,Egypt,Al-Ain,17/11/1961,,,,,Converted,False,
193,03/12/2016,Economy,Male,U.A.E.,Fujairah,12/01/1967,,,,,Converted,False,
194,03/12/2016,Premium_Economy,Male,Sudan,Dubai,03/03/1972,,,,,Converted,False,
195,03/12/2016,Premium_Economy,Male,India,Dubai,10/10/1986,,,,,Converted,False,
196,03/12/2016,Economy,Male,Palestinian,Abu Dhabi,29/04/1976,03/12/2016,Economy,4000.0,230.0,Converted,False,3770.0
197,03/12/2016,Economy,Male,Egypt,Abu Dhabi,23/10/1972,,,,,Converted,False,
198,03/12/2016,Premium_Economy,Male,Croatia,Dubai,,,,,,Converted,False,
199,03/12/2016,Economy,Male,Egypt,Dubai,21/05/1976,,,,,Converted,False,
200,03/12/2016,Business,Male,U.A.E.,Abu Dhabi,12/08/1987,,,,,Converted,False,
201,03/12/2016,Business,Male,U.A.E.,Al-Ain,25/08/1976,03/12/2016,Business,8000.0,290.0,Converted,False,7710.0
202,03/12/2016,Premium_Economy,Male,Philippines,Dubai,08/09/1985,03/12/2016,Premium_Economy,5000.0,700.0,Converted,False,4300.0
203,03/12/2016,Economy,Male,Egypt,Abu Dhabi,01/09/1989,,,,,Converted,False,
204,03/12/2016,Business,Male,U.A.E.,Sharjah,13/12/1965,,,,,Converted,False,
205,03/12/2016,Business,Female,India,Dubai,14/10/1985,,,,,Converted,False,
206,03/12/2016,Economy,Male,Pakistan,Dubai,22/07/1949,03/12/2016,Economy,4000.0,290.0,Converted,False,3710.0
207,03/12/2016,Business,Male,India,Abu Dhabi,21/06/1957,,,,,Converted,False,
208,03/12/2016,Business,Male,India,Dubai,24/03/1956,03/12/2016,Business,8000.0,600.0,Converted,False,7400.0
209,03/12/2016,Economy,Male,U.A.E.,Sharjah,20/01/1993,03/12/2016,Economy,4000.0,310.0,Converted,False,3690.0
210,03/12/2016,Economy,Male,India,Abu Dhabi,09/07/1969,03/12/2016,Economy,4000.0,270.0,Converted,False,3730.0
211,03/12/2016,Economy,Male,India,Abu Dhabi,09/09/1973,,,,,Converted,False,
212,03/12/2016,Premium_Economy,Male,India,Dubai,25/11/1982,,,,,Converted,False,
213,03/12/2016,Economy,Male,U.A.E.,Abu Dhabi,27/05/1938,03/12/2016,Economy,4000.0,280.0,Converted,False,3720.0
214,03/12/2016,Economy,Female,India,Dubai,02/07/1978,,,,,Converted,False,
215,03/12/2016,Business,Male,Pakistan,Dubai,17/02/1978,,,,,Converted,False,
216,03/12/2016,Business,Male,Sudan,Abu Dhabi,17/07/1973,,,,,Converted,False,
217,03/12/2016,Business,Male,U.A.E.,Al-Ain,22/10/1973,03/12/2016,Business,8000.0,700.0,Converted,False,7300.0
218,03/12/2016,Business,Male,Jordan,,30/09/1977,03/12/2016,Business,8000.0,490.0,Converted,False,7510.0
219,03/12/2016,Premium_Economy,Female,United Kingdom,Dubai,02/03/1982,03/12/2016,Premium_Economy,5000.0,310.0,Converted,False,4690.0
220,03/12/2016,Business,Male,Not Known,,,,,,,Converted,False,
221,03/12/2016,Economy,Female,Egypt,Sharjah,27/12/1988,,,,,Converted,False,
222,03/12/2016,Economy,Male,Pakistan,Dubai,09/04/1988,03/12/2016,Economy,4000.0,300.0,Converted,False,3700.0
223,03/12/2016,Premium_Economy,Female,India,Dubai,16/08/1974,,,,,Converted,False,
224,03/12/2016,Economy,Male,Egypt,Sharjah,10/04/1990,,,,,Converted,False,
225,03/12/2016,Premium_Economy,Male,United Kingdom,Abu Dhabi,,,,,,Converted,False,
226,03/12/2016,Business,Male,U.A.E.,Dubai,23/12/1980,,,,,Converted,False,
227,03/12/2016,Business,Male,Egypt,Dubai,26/12/1970,,,,,Converted,False,
228,03/12/2016,Business,Male,United Kingdom,Dubai,17/11/1985,03/12/2016,Business,8000.0,430.0,Converted,False,7570.0
229,03/12/2016,Premium_Economy,Female,China,Dubai,28/10/1983,,,,,Converted,False,
230,03/12/2016,Business,Male,U.A.E.,Al-Ain,05/02/1979,03/12/2016,Business,8000.0,490.0,Converted,False,7510.0
231,03/12/2016,Business,Male,India,Dubai,17/04/1976,,,,,Converted,False,
232,03/12/2016,Business,Female,U.A.E.,Abu Dhabi,01/12/1989,03/12/2016,Business,8000.0,720.0,Converted,False,7280.0
233,04/12/2016,Economy,Male,Egypt,Abu Dhabi,02/06/1984,,,,,Converted,False,
234,04/12/2016,Business,Male,U.A.E.,Abu Dhabi,25/11/1950,04/12/2016,Business,8000.0,740.0,Converted,False,7260.0
235,04/12/2016,Premium_Economy,Female,Philippines,Dubai,18/01/1977,04/12/2016,Premium_Economy,5000.0,800.0,Converted,False,4200.0
236,04/12/2016,Economy,Male,India,Dubai,23/03/1983,04/12/2016,Economy,4000.0,700.0,Converted,False,3300.0
237,04/12/2016,Economy,Male,Egypt,Sharjah,07/08/1989,,,,,Converted,False,
238,04/12/2016,Business,Female,U.A.E.,Dubai,01/12/1980,04/12/2016,Business,8000.0,240.0,Converted,False,7760.0
239,04/12/2016,Business,Male,U.A.E.,Umm Al Quwain,14/07/1984,,,,,Converted,False,
240,04/12/2016,Economy,Male,India,,20/05/1988,04/12/2016,Economy,4000.0,700.0,Converted,False,3300.0
241,04/12/2016,Business,Male,U.A.E.,Sharjah,08/01/1958,04/12/2016,Business,8000.0,330.0,Converted,False,7670.0
242,04/12/2016,Business,Female,Syria,Dubai,04/04/1985,,,,,Converted,False,
243,04/12/2016,Business,Male,U.A.E.,Sharjah,17/12/1956,,,,,Converted,False,
244,04/12/2016,Business,Male,U.A.E.,Al-Ain,24/03/1981,,,,,Converted,False,
245,04/12/2016,Business,Male,India,Abu Dhabi,22/11/1959,,,,,Converted,False,
246,04/12/2016,Business,Male,Armenian,Dubai,,,,,,Converted,False,
247,04/12/2016,Economy,Male,U.A.E.,Ras Al Khaimah,13/08/1965,04/12/2016,Economy,4000.0,0.0,Converted,False,4000.0
248,04/12/2016,Business,Male,Yemen,Abu Dhabi,28/11/1982,,,,,Converted,False,
249,04/12/2016,Economy,Male,India,Abu Dhabi,20/12/1978,04/12/2016,Economy,4000.0,230.0,Converted,False,3770.0
250,04/12/2016,Premium_Economy,Female,South Africa,Abu Dhabi,21/12/1978,,,,,Converted,False,
251,04/12/2016,Business,Male,China,,15/11/1978,,,,,Converted,False,
252,04/12/2016,Economy,Male,U.A.E.,Al-Ain,23/11/1992,04/12/2016,Economy,4000.0,700.0,Converted,False,3300.0
253,04/12/2016,Business,Female,U.A.E.,Sharjah,24/09/1984,04/12/2016,Business,8000.0,370.0,Converted,False,7630.0
254,04/12/2016,Business,Male,U.A.E.,Al-Ain,15/04/1961,,,,,Converted,False,
255,04/12/2016,Business,Male,New Zealand,Abu Dhabi,07/07/1960,04/12/2016,Business,8000.0,720.0,Converted,False,7280.0
256,04/12/2016,Economy,Male,Afghanistan,Dubai,03/06/1956,04/12/2016,Economy,4000.0,700.0,Converted,False,3300.0
257,04/12/2016,Economy,Male,India,Sharjah,13/10/1990,04/12/2016,Economy,4000.0,300.0,Converted,False,3700.0
258,04/12/2016,Premium_Economy,Male,U.A.E.,Dubai,23/05/1982,04/12/2016,Premium_Economy,5000.0,410.0,Converted,False,4590.0
259,04/12/2016,Economy,Male,Egypt,Dubai,18/09/1974,04/12/2016,Economy,4000.0,400.0,Converted,False,3600.0
260,04/12/2016,Business,Female,U.A.E.,Al-Ain,17/02/1984,,,,,Converted,False,
